Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,7.031250,7.197500,6.926250,7.011250,5.440064,23085600
2014-01-08,6.937500,7.577500,6.905000,7.566250,5.870692,86703200
2014-01-15,7.568750,7.677500,7.486250,7.566250,5.870692,63692000
2014-01-22,7.615000,7.707500,7.245000,7.256250,5.630162,72969600
2014-01-29,7.335000,7.415000,7.062500,7.135000,5.536083,64416800
2014-02-05,7.108750,7.331250,6.973750,7.320000,5.679626,41605600
2014-02-12,7.325000,7.521250,7.181250,7.483750,5.806680,26669600
2014-02-19,7.535000,7.662500,7.466250,7.595000,5.892999,36966400
2014-02-26,7.650000,7.766250,7.470000,7.733750,6.000656,38840000
2014-03-05,7.718750,7.900000,7.383750,7.453750,5.783402,46221600
2014-03-12,7.363750,7.375000,6.660000,6.863750,5.325618,103128800
2014-03-19,6.663750,6.892500,6.615000,6.672500,5.177227,60533600
2014-03-26,6.765000,6.931250,6.628750,6.900000,5.353746,48380000
2014-04-02,6.925000,6.978750,6.753750,6.868750,5.329498,34196800
2014-04-09,6.766250,6.986250,6.363750,6.622500,5.138433,95876800
2014-04-16,6.541250,6.621250,6.438750,6.556250,5.087029,44741600
2014-04-23,6.531250,6.681250,6.475000,6.658750,5.166558,55833600
2014-04-30,6.623750,6.741250,6.572500,6.661250,5.168499,42896000
2014-05-07,6.432500,6.820000,6.307500,6.787500,5.266456,66848000
2014-05-14,6.811250,6.865000,6.428750,6.603750,5.123883,73168000
2014-05-21,6.716250,6.723750,6.543750,6.615000,5.132612,37631200
2014-05-28,6.567500,6.585000,6.257500,6.496250,5.040474,101125600
2014-06-04,6.453750,6.640000,6.380000,6.537500,5.072479,50879200
2014-06-11,6.740000,6.878750,6.638750,6.728750,5.220872,85653600
2014-06-18,6.723750,6.907500,6.607500,6.616250,5.201499,47164800
2014-06-25,6.610000,6.775000,6.568750,6.718750,5.282080,37115200
2014-07-02,6.731250,6.971250,6.661250,6.943750,5.458970,41744000
