Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,366.000000,366.024994,348.299988,354.075012,352.014984,5023966
2014-01-08,354.500000,362.375000,347.575012,355.649994,353.580811,3446216
2014-01-15,357.000000,368.875000,352.000000,353.149994,351.095306,7258866
2014-01-22,352.500000,359.000000,322.524994,329.899994,327.980591,10940390
2014-01-29,333.500000,337.475006,321.799988,332.649994,330.714630,7207668
2014-02-05,332.500000,338.049988,320.325012,323.625000,321.742126,7743460
2014-02-12,325.000000,341.500000,315.250000,340.149994,338.170959,6488514
2014-02-19,340.000000,344.200012,331.000000,337.875000,335.909210,6678084
2014-02-26,337.549988,347.000000,332.725006,338.350006,336.381439,5654674
2014-03-05,340.500000,378.825012,335.299988,372.100006,369.935089,10765846
2014-03-12,372.625000,388.325012,366.500000,382.649994,380.423676,6650972
2014-03-19,383.825012,388.725006,369.174988,386.325012,384.077301,8287346
2014-03-26,387.500000,394.000000,376.000000,381.850006,379.628357,9887222
2014-04-02,384.000000,386.649994,375.000000,384.725006,382.486603,6518486
2014-04-09,387.399994,406.000000,383.575012,395.424988,393.124298,7253670
2014-04-16,394.950012,404.500000,386.750000,400.649994,398.318909,6051648
2014-04-23,400.000000,417.299988,398.399994,403.500000,401.152405,6386006
2014-04-30,402.500000,409.475006,397.750000,403.475006,401.127533,4029170
2014-05-07,400.149994,434.500000,400.149994,430.524994,428.020172,9131922
2014-05-14,429.750000,475.500000,426.299988,451.524994,448.898010,11010058
2014-05-21,451.000000,454.799988,425.049988,435.299988,432.767395,8952548
2014-05-28,435.000000,445.600006,421.024994,436.600006,434.059784,9301394
2014-06-04,436.049988,458.450012,426.500000,450.049988,447.431549,8379062
2014-06-11,451.975006,474.750000,451.024994,468.625000,465.898468,6845842
2014-06-18,472.500000,485.975006,436.549988,439.549988,436.992645,10404622
2014-06-25,447.350006,447.350006,427.600006,442.174988,439.602386,5738280
2014-07-02,443.524994,450.975006,426.375000,436.125000,433.587585,33876838
2014-07-09,436.899994,443.600006,423.600006,435.774994,433.628876,14623850
2014-07-16,439.899994,483.500000,433.049988,474.600006,472.262665,20983794
2014-07-23,474.600006,477.149994,461.450012,470.600006,468.282318,7849440
2014-07-30,471.500000,489.799988,460.750000,468.975006,466.665344,11027962
2014-08-06,467.000000,484.950012,459.500000,482.350006,479.974457,7425622
2014-08-13,482.350006,493.000000,472.524994,490.325012,487.910187,7900524
2014-08-20,492.000000,529.799988,487.500000,527.049988,524.454346,12088266
2014-08-27,528.049988,530.974976,515.299988,529.125000,526.519104,7308226
2014-09-03,533.349976,543.299988,523.000000,536.650024,534.007080,5397702
2014-09-10,535.000000,536.825012,512.075012,513.724976,511.194916,8411024
2014-09-17,515.000000,534.500000,509.399994,520.575012,518.011292,6516696
2014-09-24,520.549988,528.424988,498.000000,506.549988,504.055298,9709760
2014-10-01,504.250000,507.350006,498.000000,502.899994,500.423309,4939608
2014-10-08,503.500000,513.200012,494.174988,506.575012,504.080170,9416192
2014-10-15,506.575012,516.400024,490.174988,506.875000,504.378723,9729280
2014-10-22,510.649994,546.750000,510.000000,541.400024,538.733704,9319196
2014-10-29,543.500000,561.125000,535.349976,555.224976,552.490601,6707086
2014-11-05,556.500000,570.000000,550.000000,553.724976,550.997986,6127294
2014-11-12,555.750000,566.500000,520.250000,542.525024,539.853210,6975046
2014-11-19,543.000000,632.349976,530.000000,580.275024,577.417114,29756080
2014-11-26,582.000000,615.775024,573.049988,607.700012,604.707153,13318516
2014-12-03,607.799988,627.174988,602.500000,615.974976,612.941223,7986380
2014-12-10,614.375000,657.750000,613.224976,641.750000,638.589417,9406654
2014-12-17,638.000000,638.000000,616.000000,622.250000,619.185486,12807168
2014-12-24,620.674988,630.000000,616.200012,623.325012,620.255188,5055794
2014-12-31,622.099976,639.500000,616.775024,625.674988,622.593628,5543086
2015-01-07,623.750000,704.924988,623.750000,696.474976,693.044861,20527434
2015-01-14,697.049988,722.000000,688.599976,697.849976,694.413147,13708800
2015-01-21,698.000000,709.500000,681.150024,694.174988,690.756348,9925690
2015-01-28,691.549988,695.000000,650.049988,653.150024,649.933350,21114132
2015-02-04,654.474976,664.174988,618.125000,642.875000,639.708923,9906452
2015-02-11,648.500000,661.500000,639.299988,646.224976,643.042358,6565072
2015-02-18,645.950012,677.000000,641.924988,675.150024,671.824951,13451438
2015-02-25,678.000000,712.474976,657.500000,704.349976,700.881104,15828678
2015-03-04,718.000000,728.875000,659.500000,673.900024,670.581116,13797030
2015-03-11,671.500000,695.325012,651.974976,669.825012,666.526184,5198212
2015-03-18,669.849976,681.375000,653.500000,670.375000,667.073486,5860566
2015-03-25,669.049988,671.250000,637.849976,656.625000,653.391174,8175264
2015-04-01,661.450012,706.549988,652.599976,693.424988,690.009949,6329328
2015-04-08,693.424988,726.825012,682.950012,722.799988,719.240295,7214838
2015-04-15,723.450012,737.650024,673.224976,676.500000,673.168274,12086626
2015-04-22,677.474976,694.750000,652.025024,671.025024,667.720276,7540248
2015-04-29,669.500000,714.724976,648.650024,711.625000,708.120300,13496170
2015-05-06,715.275024,717.450012,646.000000,659.424988,656.177490,12577060
2015-05-13,661.049988,696.775024,655.500000,688.650024,685.258423,7689398
2015-05-20,690.750000,701.625000,679.000000,691.200012,687.795837,5035650
2015-05-27,687.450012,705.000000,676.174988,679.650024,676.302795,8287724
2015-06-03,681.900024,685.000000,662.674988,665.474976,662.197571,5823744
2015-06-10,665.474976,672.974976,629.000000,644.575012,641.400574,7175000
2015-06-17,648.125000,692.299988,631.250000,690.224976,686.825745,7275552
2015-06-24,690.000000,707.099976,671.049988,692.900024,689.967041,7806698
2015-07-01,689.799988,732.000000,688.500000,712.799988,709.782776,13477698
2015-07-08,703.849976,720.000000,693.049988,710.700012,707.691711,6634030
2015-07-15,710.950012,744.799988,707.500000,720.650024,717.599670,6062667
2015-07-22,719.099976,735.099976,713.099976,729.400024,726.312622,3962657
2015-07-29,731.950012,737.299988,680.150024,690.849976,687.925720,11202076
2015-08-05,695.000000,716.500000,683.349976,704.700012,701.717102,5199752
2015-08-12,702.950012,724.750000,682.549988,705.099976,702.115417,3437977
2015-08-19,704.700012,718.700012,621.900024,639.450012,636.743225,7253339
2015-08-26,639.450012,662.000000,608.500000,613.750000,611.152039,7280959
2015-09-02,617.950012,629.950012,594.500000,620.400024,617.773865,8072738
2015-09-09,628.099976,649.299988,612.250000,640.000000,637.290894,5085303
2015-09-16,643.299988,670.000000,634.599976,642.700012,639.979431,5780454
2015-09-23,631.000000,662.000000,624.000000,651.500000,648.742249,5072098
2015-09-30,653.000000,662.000000,637.450012,655.750000,652.974182,4218914
2015-10-07,655.250000,669.700012,649.400024,656.049988,653.273010,4227223
2015-10-14,656.000000,664.000000,645.150024,654.049988,651.281433,4034962
2015-10-21,653.950012,669.000000,650.049988,660.450012,657.654358,3156978
2015-10-28,658.700012,693.799988,657.950012,683.099976,680.208435,9780373
2015-11-04,687.500000,688.950012,634.650024,646.849976,644.112000,3759618
2015-11-11,646.849976,689.500000,646.849976,677.150024,674.283752,2471718
2015-11-18,671.049988,694.000000,667.650024,677.599976,674.731750,3406793
2015-11-25,677.599976,702.950012,676.299988,688.599976,685.685181,2814385
2015-12-02,691.000000,692.349976,661.000000,674.000000,671.147034,3197468
2015-12-09,672.700012,688.900024,663.000000,686.599976,683.693665,3415184
2015-12-16,689.900024,708.000000,684.000000,698.200012,695.244568,5337666
2015-12-23,701.700012,714.500000,696.400024,706.200012,703.210693,3066179
2015-12-30,708.000000,729.849976,703.849976,707.750000,704.754089,4166230
2016-01-06,704.000000,711.000000,681.000000,692.000000,689.070801,3092068
2016-01-13,698.049988,700.650024,663.099976,668.700012,665.869446,5964405
2016-01-20,660.000000,700.000000,651.000000,681.000000,678.117371,3269806
2016-01-27,680.000000,691.000000,660.250000,677.150024,674.283752,4963947
2016-02-03,672.000000,697.299988,661.700012,677.049988,674.184143,5029852
2016-02-10,677.000000,679.950012,613.700012,620.250000,617.624573,5899399
2016-02-17,619.000000,642.200012,610.000000,623.000000,620.362854,3472293
2016-02-24,620.349976,641.200012,585.750000,638.450012,635.747559,6359624
