Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,6.235000,6.345000,6.110000,6.170000,5.794046,6624800
2014-01-08,6.130000,6.515000,6.125000,6.430000,6.038205,7003200
2014-01-15,6.430000,6.835000,6.315000,6.695000,6.287057,8945600
2014-01-22,6.715000,6.790000,6.360000,6.520000,6.144698,5171400
2014-01-29,6.470000,6.595000,6.260000,6.345000,5.979771,6481800
2014-02-05,6.310000,6.490000,6.200000,6.425000,6.055166,7337000
2014-02-12,6.430000,6.550000,6.265000,6.510000,6.135274,3183600
2014-02-19,6.515000,6.905000,6.465000,6.880000,6.483976,5297800
2014-02-26,6.890000,7.130000,6.640000,7.065000,6.658328,6005000
2014-03-05,7.075000,7.100000,6.720000,6.765000,6.375595,5465600
2014-03-12,6.770000,6.905000,6.365000,6.625000,6.243654,5466600
2014-03-19,6.615000,6.650000,6.440000,6.550000,6.172972,6458800
2014-03-26,6.585000,6.890000,6.405000,6.865000,6.469839,3889000
2014-04-02,6.810000,6.950000,6.545000,6.620000,6.238941,4058000
2014-04-09,6.615000,6.850000,6.535000,6.760000,6.370883,6102800
2014-04-16,6.700000,6.905000,6.220000,6.250000,5.890241,6132200
2014-04-23,6.230000,6.230000,5.860000,5.985000,5.640493,9620000
2014-04-30,5.960000,6.045000,5.880000,5.885000,5.546250,5129600
2014-05-07,5.875000,6.075000,5.645000,5.980000,5.635782,6452800
2014-05-14,6.000000,6.010000,5.535000,5.685000,5.357762,6537400
2014-05-21,5.680000,5.840000,5.570000,5.780000,5.447294,4299200
2014-05-28,5.790000,5.825000,5.460000,5.465000,5.150426,8304000
2014-06-04,5.465000,5.750000,5.430000,5.690000,5.362474,5646600
2014-06-11,5.670000,5.895000,5.670000,5.865000,5.527401,4946400
2014-06-18,5.815000,5.875000,5.655000,5.680000,5.353049,10897000
2014-06-25,5.675000,6.010000,5.625000,6.010000,5.664054,8153400
2014-07-02,6.035000,6.170000,5.990000,6.060000,5.711176,4710200
2014-07-09,6.080000,6.110000,5.970000,6.035000,5.687616,4719400
2014-07-16,6.055000,6.155000,5.885000,6.090000,5.739450,4120600
2014-07-23,6.170000,6.235000,5.900000,5.905000,5.565099,6445200
2014-07-30,5.935000,5.970000,5.755000,5.885000,5.584443,4168400
2014-08-06,5.820000,5.905000,5.625000,5.870000,5.570208,5533000
2014-08-13,5.915000,5.930000,5.755000,5.840000,5.541740,3003000
2014-08-20,5.850000,5.895000,5.740000,5.800000,5.503783,3315400
2014-08-27,5.825000,6.105000,5.795000,6.100000,5.788462,4774600
2014-09-03,6.145000,6.240000,6.070000,6.075000,5.764738,3055000
2014-09-10,6.050000,6.065000,5.800000,5.945000,5.641377,2729200
2014-09-17,5.945000,6.100000,5.805000,5.955000,5.650867,6760000
2014-09-24,5.985000,6.100000,5.780000,6.080000,5.769483,6029800
2014-10-01,6.055000,6.115000,5.895000,5.985000,5.679335,4227800
2014-10-08,5.910000,6.140000,5.885000,6.100000,5.788462,4513200
2014-10-15,6.025000,6.130000,5.780000,6.130000,5.816929,6630200
2014-10-22,6.125000,6.195000,5.660000,5.900000,5.598675,4895600
2014-10-29,5.890000,6.225000,5.815000,6.175000,5.859632,4266800
2014-11-05,6.145000,6.290000,6.110000,6.115000,5.802695,4311000
2014-11-12,6.100000,6.345000,6.090000,6.220000,5.902333,5224400
2014-11-19,6.210000,6.435000,6.100000,6.390000,6.063651,3599400
2014-11-26,6.375000,6.495000,6.350000,6.490000,6.158544,2335600
2014-12-03,6.490000,6.585000,6.035000,6.105000,5.793206,3732600
2014-12-10,6.060000,6.065000,5.525000,5.620000,5.332975,6142000
2014-12-17,5.650000,5.985000,5.575000,5.930000,5.627143,4794800
2014-12-24,5.875000,5.970000,5.730000,5.770000,5.475315,1981400
2014-12-31,5.810000,5.810000,5.440000,5.515000,5.233339,3649000
2015-01-07,5.575000,5.805000,5.510000,5.745000,5.451592,4651400
2015-01-14,5.635000,6.140000,5.525000,5.970000,5.665101,6639600
2015-01-21,5.935000,6.535000,5.890000,6.490000,6.158544,7584600
2015-01-28,6.560000,6.665000,6.360000,6.625000,6.329588,7425000
2015-02-04,6.625000,6.840000,6.525000,6.805000,6.501562,6887400
2015-02-11,6.790000,7.090000,6.785000,6.995000,6.683090,3982200
2015-02-18,6.995000,7.020000,6.755000,6.875000,6.568440,5267400
2015-02-25,6.905000,7.050000,6.810000,6.935000,6.625765,4025800
2015-03-04,6.860000,6.945000,6.585000,6.625000,6.329588,5887200
2015-03-11,6.650000,6.745000,6.475000,6.695000,6.396467,5836200
2015-03-18,6.655000,6.985000,6.620000,6.890000,6.582772,5770000
2015-03-25,6.915000,6.915000,6.505000,6.660000,6.363029,6625600
2015-04-01,6.665000,6.695000,6.505000,6.530000,6.238824,3801600
2015-04-08,6.565000,6.740000,6.495000,6.550000,6.257933,5291600
2015-04-15,6.500000,6.590000,6.030000,6.040000,5.770673,8486200
2015-04-22,5.935000,5.965000,5.715000,5.805000,5.546152,13351200
2015-04-29,5.895000,5.900000,5.705000,5.845000,5.584368,4920600
2015-05-06,5.840000,5.965000,5.685000,5.750000,5.493605,4483200
2015-05-13,5.790000,5.895000,5.730000,5.880000,5.617808,4660600
2015-05-20,5.925000,5.990000,5.765000,5.830000,5.570037,4292800
2015-05-27,5.825000,6.065000,5.800000,6.000000,5.732457,4678400
2015-06-03,5.925000,6.050000,5.755000,5.820000,5.560482,5099600
2015-06-10,6.000000,6.090000,5.810000,5.920000,5.656024,4433800
